PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,GIR_PERCENTAGE,TOTAL_DRIVING_DISTANCE,FIR_PERCENTAGE,SCRAMBLING_PERCENTAGE,PUTTS_PER_ROUND
55955,Matthew Jordan,2023 The Open,65.28%,269.4,51.79%,68.00%,28.75
49771,J.T. Poston,2023 The Open,65.28%,283.6,58.93%,56.00%,29.75
24502,Adam Scott,2023 The Open,65.28%,309.8,41.07%,52.00%,29.5
23481,Marcel Siem,2023 The Open,65.28%,306.1,55.36%,56.00%,30.25
35174,Matthew Southgate,2023 The Open,65.28%,288.8,64.29%,64.00%,30.0
34046,Jordan Spieth,2023 The Open,65.28%,285.6,64.29%,60.00%,29.75
52666,Sami Valimaki,2023 The Open,65.28%,293.4,69.64%,44.00%,30.5
45836,Richard Bland,2023 The Open,63.89%,282.6,66.07%,57.69%,28.25
48117,Kurt Kitayama,2023 The Open,63.89%,295.5,42.86%,57.69%,31.25
34575,Adrian Otaegui,2023 The Open,63.89%,278.4,66.07%,53.85%,29.75
34310,Alexander Björk,2023 The Open,62.50%,278.8,55.36%,55.56%,29.75
35450,Patrick Cantlay,2023 The Open,62.50%,289.5,57.14%,62.96%,28.75
28089,Jason Day,2023 The Open,62.50%,292.3,55.36%,66.67%,26.75
40098,Matt Fitzpatrick,2023 The Open,62.50%,274.4,39.29%,70.37%,28.25
28300,Joost Luiten,2023 The Open,62.50%,296.6,51.79%,51.85%,30.5
46646,Antoine Rozner,2023 The Open,62.50%,295.0,58.93%,62.96%,29.0
21528,Henrik Stenson,2023 The Open,62.50%,291.6,71.43%,77.78%,28.0
45522,Christiaan Bezuidenhout,2023 The Open,61.11%,282.5,51.79%,60.71%,29.25
52453,Nicolai Hojgaard,2023 The Open,61.11%,303.8,46.43%,53.57%,28.5
55182,Tom Kim,2023 The Open,61.11%,280.9,64.29%,67.86%,27.25
36689,Brooks Koepka,2023 The Open,61.11%,303.0,44.64%,42.86%,30.75
46464,Jordan Smith,2023 The Open,61.11%,300.4,51.79%,53.57%,29.5
55721,Alex Fitzpatrick,2023 The Open,59.72%,271.4,51.79%,58.62%,27.5
39834,Guido Migliozzi,2023 The Open,59.72%,284.4,51.79%,65.52%,29.5
35891,Cameron Smith,2023 The Open,59.72%,280.8,48.21%,51.72%,28.25
39412,Zack Fischer,2023 The Open,58.33%,294.5,55.36%,46.67%,29.25
20766,Padraig Harrington,2023 The Open,58.33%,291.6,58.93%,46.67%,30.25
37250,Romain Langasque,2023 The Open,58.33%,297.8,55.36%,50.00%,28.25
55509,Hurly Long,2023 The Open,58.33%,297.0,42.86%,56.67%,27.75
33293,Thomas Pieters,2023 The Open,58.33%,293.5,35.71%,43.33%,30.5
30692,Scott Stallings,2023 The Open,58.33%,292.6,48.21%,46.67%,29.0
33948,Byeong Hun An,2023 The Open,56.94%,304.3,41.07%,74.19%,28.25
20229,Stewart Cink,2023 The Open,56.94%,288.8,51.79%,74.19%,28.25
32102,Rickie Fowler,2023 The Open,56.94%,282.6,66.07%,67.74%,27.5
39971,Sungjae Im,2023 The Open,56.94%,289.3,53.57%,61.29%,27.5
37378,Min Woo Lee,2023 The Open,56.94%,291.4,48.21%,61.29%,28.75
26329,Louis Oosthuizen,2023 The Open,56.94%,291.0,46.43%,64.52%,27.0
29936,Ryan Fox,2023 The Open,55.56%,287.6,48.21%,53.13%,28.75
47056,Rikuya Hoshino,2023 The Open,55.56%,279.1,66.07%,56.25%,28.0
34409,David Lingmerth,2023 The Open,55.56%,284.1,66.07%,53.13%,29.5
52215,Robert MacIntyre,2023 The Open,55.56%,306.6,42.86%,50.00%,29.5
34360,Patrick Reed,2023 The Open,55.56%,292.9,62.50%,59.38%,28.0
65374,Brandon Robinson Thompson,2023 The Open,55.56%,283.0,50.00%,59.38%,29.25
31323,Gary Woodland,2023 The Open,54.17%,299.4,46.43%,66.67%,29.75
24024,Zach Johnson,2023 The Open,52.78%,275.6,51.79%,61.76%,27.25
54422,Christo Lamprecht,2023 The Open,52.78%,320.4,26.79%,41.18%,29.75
27349,Alex Noren,2023 The Open,52.78%,283.9,48.21%,58.82%,27.0
29531,Richie Ramsay,2023 The Open,52.78%,283.8,50.00%,64.71%,28.25
47959,Bryson DeChambeau,2023 The Open,51.39%,305.4,28.57%,48.57%,29.5
27506,Oliver Wilson,2023 The Open,51.39%,305.9,46.43%,71.43%,27.5
39997,Corey Conners,2023 The Open,50.00%,286.9,46.43%,69.44%,27.25
35913,Michael Stewart,2023 The Open,50.00%,286.6,41.07%,61.11%,27.75
45523,Thriston Lawrence,2023 The Open,48.61%,289.4,39.29%,51.35%,28.25
32139,Danny Willett,2023 The Open,47.22%,291.5,51.79%,63.16%,29.0
